Date : 2025-01-24 08:12:40
Directory : c:\Users\Kerlos\Desktop\quiz\app
Total : 108 files,  638 codes, 13 comments, 221 blanks, all 872 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\quiz\app\components\QuizData.jsx                              | JavaScript JSX |       -239 |        -13 |        -66 |       -318 |
| d:\quiz\app\components\QuizEn.jsx                                | JavaScript JSX |       -412 |        -10 |        -91 |       -513 |
| d:\quiz\app\components\QuizFr.jsx                                | JavaScript JSX |       -412 |        -10 |        -91 |       -513 |
| d:\quiz\app\components\QuizGeo.jsx                               | JavaScript JSX |       -412 |        -10 |        -92 |       -514 |
| d:\quiz\app\components\QuizPh.jsx                                | JavaScript JSX |       -412 |        -10 |        -91 |       -513 |
| d:\quiz\app\components\QuizV.jsx                                 | JavaScript JSX |       -149 |         -2 |        -30 |       -181 |
| d:\quiz\app\components\Subjects.jsx                              | JavaScript JSX |       -101 |         -5 |        -12 |       -118 |
| d:\quiz\app\components\Subs.jsx                                  | JavaScript JSX |        -20 |          0 |         -7 |        -27 |
| d:\quiz\app\components\ThemeToggle.jsx                           | JavaScript JSX |        -33 |         -2 |        -12 |        -47 |
| d:\quiz\app\english\[quizid]\page.jsx                            | JavaScript JSX |        -12 |          0 |         -8 |        -20 |
| d:\quiz\app\english\page.jsx                                     | JavaScript JSX |        -14 |          0 |        -12 |        -26 |
| d:\quiz\app\french\[quizid]\page.jsx                             | JavaScript JSX |        -10 |          0 |         -7 |        -17 |
| d:\quiz\app\french\page.jsx                                      | JavaScript JSX |        -14 |          0 |        -11 |        -25 |
| d:\quiz\app\geo\[quizid]\page.jsx                                | JavaScript JSX |        -10 |          0 |         -7 |        -17 |
| d:\quiz\app\geo\page.jsx                                         | JavaScript JSX |        -14 |          0 |        -10 |        -24 |
| d:\quiz\app\globals.css                                          | CSS            |         -6 |          0 |         -2 |         -8 |
| d:\quiz\app\layout.jsx                                           | JavaScript JSX |        -50 |         -2 |        -17 |        -69 |
| d:\quiz\app\page.jsx                                             | JavaScript JSX |        -13 |          0 |         -8 |        -21 |
| d:\quiz\app\payment\page.jsx                                     | JavaScript JSX |       -131 |          0 |        -28 |       -159 |
| d:\quiz\app\phys\[quizid]\page.jsx                               | JavaScript JSX |         -9 |          0 |         -7 |        -16 |
| d:\quiz\app\phys\page.jsx                                        | JavaScript JSX |        -15 |          0 |        -10 |        -25 |
| d:\quiz\app\quiz\page.jsx                                        | JavaScript JSX |         -8 |          0 |         -5 |        -13 |
| d:\quiz\app\sign-in\[[...sign-in]]\page.jsx                      | JavaScript JSX |        -80 |          0 |        -15 |        -95 |
| d:\quiz\app\sign-up\[[...sign-up]]\page.jsx                      | JavaScript JSX |        -82 |          0 |        -20 |       -102 |
| d:\quiz\app\sitemap.xml                                          | XML            |        -50 |          0 |         -1 |        -51 |
| d:\quiz\app\subscriptions\page.jsx                               | JavaScript JSX |        -10 |          0 |         -6 |        -16 |
| d:\quiz\app\test\page.jsx                                        | JavaScript JSX |        -18 |          0 |         -7 |        -25 |
| Total                                                            |                |        638 |         13 |        221 |        872 |
+------------------------------------------------------------------+----------------+------------+------------+------------+------------+
